42,26,39,54,40,26,48,61,27,33,73,25,47,34,66,64,6,10,6,28,17,9,5,15,11,22,9,5,10,5,26,6,12,21,15,19,25,5,49,2,26,17,19,31,45,39,26,40,54,51,47,17,47,33,38,50,34,6,10,4,8,6,2,3,1,2,7,7,5,9,4,6,11
48,12,15,28,14,64,15,25,12,58,25,73,24,23,32,27,18,19,10,60,7,12,19,30,33,11,10,8,23,19,43,34,27,12,27,21,16,13,22,12,11,32,22,35,18,11,15,13,22,18,24,15,17,13,19,16,22,13,17,12,14,24,13,13,15,12,20,13,20,29,19,19,16
37,37,44,50,42,28,59,51,35,29,47,24,73,57,42,49,13,11,4,25,22,8,4,23,22,24,6,6,10,6,17,13,22,21,23,22,35,3,58,2,37,15,33,46,37,52,39,41,56,51,53,30,57,50,41,50,38,9,15,2,4,5,4,2,2,2,10,3,6,8,5,12,11
32,40,38,37,34,25,49,38,38,27,34,23,57,73,32,36,16,12,5,23,25,7,4,30,27,26,7,8,13,4,15,21,30,20,31,23,38,4,47,4,40,13,35,43,34,48,43,39,42,42,44,34,49,46,39,42,41,14,18,4,7,3,5,3,2,4,9,4,6,9,5,15,13
49,19,33,54,35,33,43,56,20,40,66,32,42,32,73,63,7,11,6,34,14,9,6,17,12,19,9,5,11,6,31,8,14,19,14,17,18,5,44,2,19,19,13,29,40,32,21,36,49,46,42,13,40,26,36,45,31,6,10,4,9,7,2,3,2,2,8,7,6,11,6,7,10
46,26,38,56,41,29,51,66,26,36,64,27,49,36,63,73,7,8,4,28,15,7,3,17,11,20,6,5,7,4,26,7,12,18,17,17,27,2,53,1,28,17,18,34,45,39,28,41,57,56,50,16,45,33,40,51,36,5,9,1,5,4,1,1,0,1,6,3,4,10,5,7,11
9,22,27,13,18,14,9,10,23,19,6,18,13,16,7,7,73,27,30,18,30,32,32,18,21,29,30,29,25,29,25,24,23,26,17,21,22,33,12,33,23,28,28,25,14,17,17,15,10,12,8,33,12,15,17,14,13,35,52,31,36,30,30,31,34,33,27,32,29,30,29,32,31
12,7,15,9,19,18,10,9,4,19,10,19,11,12,11,8,27,73,48,17,28,50,52,12,18,25,44,49,61,48,30,21,8,33,7,33,3,53,9,53,4,40,5,5,8,9,4,10,8,8,9,12,9,7,10,5,7,35,20,52,44,48,53,56,52,53,42,50,53,44,46,38,40
4,11,11,7,12,8,8,6,8,10,6,10,4,5,6,4,30,48,73,13,38,57,51,12,15,35,67,58,46,51,25,20,9,40,8,26,8,64,4,55,8,38,10,5,15,7,7,7,4,8,6,16,4,6,7,7,11,40,34,64,52,47,56,58,55,57,39,65,53,38,49,36,39
49,13,17,30,14,62,17,26,13,56,28,60,25,23,34,28,18,17,13,73,10,11,20,28,31,10,16,10,18,19,47,32,27,12,26,22,16,16,22,12,12,35,22,34,22,11,14,16,25,20,25,16,17,14,22,20,21,15,20,14,14,24,13,13,15,14,17,16,18,27,19,18,17
