strength	module_id	clustering	betweeness	loc_efficiency
0.269766562	4	0.520581114	374	0.355727891
0.083568585	3	0.426315789	118	0.303916117
0.173275245	3	0.590986395	72	0.390647048
0.26576944	4	0.584602785	170	0.367746113
0.147661639	5	0.624466572	22	0.374225959
0.105666212	3	0.424242424	30	0.287261193
0.17721885	4	0.696969697	162	0.34102621
0.261139657	4	0.594780462	104	0.375559698
0.154139119	3	0.507936508	178	0.307592229
0.263886566	4	0.60383653	110	0.375106689
0.233031747	2	0.596656217	276	0.355244876
0.09520679	3	0.606153846	40	0.353169192
0.251901743	2	0.616242373	164	0.36906746
0.104581875	3	0.543478261	44	0.345672908
0.220832206	2	0.642080517	158	0.366768187
0.232831404	4	0.616242373	278	0.362932338
0.194473833	4	0.590892262	292	0.343781239
0.21193692	3	0.583859649	106	0.362528938
0.17413806	2	0.681972789	48	0.358380808
0.179042238	4	0.671584699	58	0.363525022
0.115069484	5	0.511363636	42	0.376121706
0.237792339	4	0.603907204	256	0.343035336
0.213021821	4	0.653471027	202	0.362505414
0.24405483	4	0.664021888	120	0.381085214
0.118368045	1	0.379084967	134	0.281434543
0.132346357	5	0.614919355	68	0.371886884
0.09856478	3	0.393145161	184	0.331108178
0.053173256	1	0.654545455	16	0.38051813
0.109670044	5	0.482758621	156	0.373661597
0.224179856	4	0.633964429	124	0.362405262
0.132900101	3	0.602102102	84	0.369131653
0.102505163	5	0.606060606	50	0.359134823
0.163399537	4	0.731168831	48	0.359624544
0.125161186	1	0.636363636	24	0.422673346
